seurat_file	Dataset	estimated_total_clusters	exclude_author	doublet_formation_rate
Affinati10x/Affinati10x_seurat_raw.rds	Affinati10x	90	FALSE	0.05
Anderson10x/Anderson10x_seurat_raw.rds	Anderson10x	70	FALSE	0.05
CampbellDropseq/CampbellDropseq_seurat_raw.rds	CampbellDropseq	67	FALSE	0.05
ChenDropseq/ChenDropseq_seurat_raw.rds	ChenDropseq	76	FALSE	0.05
Dowsett10xnuc/Dowsett10xnuc_seurat_raw.rds	Dowsett10xnuc	90	TRUE	0.02
Flynn10x/Flynn10x_seurat_raw.rds	Flynn10x	41	FALSE	0.05
Kim10x/Kim10x_seurat_raw.rds	Kim10x	72	TRUE	0.02
kimDev10x/kimDev10x_seurat_raw.rds	kimDev10x	19	FALSE	0.02
LeeDropseq/LeeDropseq_seurat_raw.rds	LeeDropseq	48	FALSE	0.02
Mickelsen10x/Mickelsen10x_seurat_raw.rds	Mickelsen10x	43	FALSE	0.05
Moffit10x/Moffit10x_seurat_raw.rds	Moffit10x	64	TRUE	0.05
Morris10x/Morris10x_seurat_raw.rds	Morris10x	50	FALSE	0.05
Mousebrainorg10x/Mousebrainorg10x_seurat_raw.rds	Mousebrainorg10x	37	FALSE	0.05
RomanovDev10x/RomanovDev10x_seurat_raw.rds	RomanovDev10x	18	FALSE	0.05
RossiDropseq/RossiDropseq_seurat_raw.rds	RossiDropseq	51	FALSE	0.05
Rupp10x/Rupp10x_seurat_raw.rds	Rupp10x	90	FALSE	0.05
wen10x/wen10x_seurat_raw.rds	wen10x	21	FALSE	0.05
wenDropseq/wenDropseq_seurat_raw.rds	wenDropseq	61	FALSE	0.05
